M0	peripheral vascular disease
M238	uncontrolled bleeding
M239	tuberculosis
M240	pruritus vulvae
M241	post-traumatic headache
M242	fusarium solani keratitis
M243	hormone receptor-negative (her2-) breast cancer
M244	non-q wave myocardial infarction
M245	infant botulism
M246	streptococcus pneumoniae type 7f
M247	chronic heart failure with reduced ejection fraction
M248	metastatic head and neck squamous cell carcinoma 
M249	erythema nodosum leprosum
M250	idiopathic decline in mental capacity
M251	yellow fever
M252	prophylaxis of the disease caused by bordetella pertussis
M253	neurogenic bladder
M254	cervical cancer
M255	esophagitis
M256	rocky mountain spotted fever
M257	excess stomach acid
M258	helminthiasis in cats
M259	aromatic l-amino acid decarboxylase (aadc) deficiency with a severe phenotype
M260	neovascular (wet) age-related macular degeneration (amd)
M261	hallucination
M262	sjogren's syndrome
M263	disseminated mycobacterium avium complex (mac) disease
M264	intestinal amebiasis
M265	unresectable or metastatic uveal melanoma
M266	permanent atrial fibrillation
M267	recurrent glioblastoma
M268	papillary renal cell carcinoma
M269	candidal vaginitis
M270	disordered thought
M271	metabolic acidosis
M272	breast cancer in postmenopausal women at high risk for invasive breast cancer
M273	recurrent herpes labialis
M274	migraines
M275	chronic plaque psoriasis
M276	myelosuppression
M277	crohn's disease
M278	acne vulgaris
M279	factor xiii deficiency
M280	t-cell acute lymphocytic leukemia
M281	herpes simplex keratitis
M282	heavy menstrual bleeding associated with uterine fibroids
M283	dental plaque
M284	uveitis
M285	insomnia
M286	tinea corporis (ringworm)
M287	metastatic ovarian cancer
M288	impetigo
M289	aborting pregnancy
M290	ulcers
M291	tetanus
M292	moderate-to-severe glabellar lines
M293	hypoglycemia
M294	hyperprolactinemia
M295	hypertension during pregnancy
M296	persistent (nontransient) facial erythema of rosacea
M297	metastatic squamous non-small cell lung cancer
M298	triple-negative breast cancer (tnbc)
M299	carcinoid syndrome
M300	generalized non-psychotic anxiety
M301	thrombotic thrombocytopenic purpura
M302	teratocarcinoma
M303	malignant pleural mesothelioma
M304	left ventricular dysfunction
M305	keratosis palmaris
M306	atrial fibrillation with embolization
M307	ethanol consumption
M308	miosis
M309	narcolepsy without cataplexy
M310	weight loss
M311	urea cycle enzyme deficiencies
M312	pathological hypersecretory conditions
M313	prophylaxis of heart transplant rejection
M314	polycythemia vera
M315	ccr5-tropic hiv-1 infection
M316	macular edema
M317	female sexual dysfunction
M318	urticaria
M319	hepatitis (viral c)
M320	vitamin e deficiency
M321	lead poisoning
M322	pain with intercourse
M323	chronic idiopathic constipation
M324	sour stomach
M325	treatment-resistant schizophrenia
M326	pain following ocular surgery
M327	endometrial hyperplasia
M328	spasticity
M329	onchocerciasis
M330	ovarian adenocarcinoma
M331	agitation
M332	shigellosis
M333	condylomata acuminata
M334	peripheral vertigo
M335	acne rosacea
M336	chronic hepatitis (viral d)
M337	social anxiety disorder
M338	tendonitis
M339	human papillomavirus (hpv) type 52
M340	gastroenteritis
M341	oligomenorrhea
M342	huntington's disease
M343	primary breast cancer
M344	amyloidosis
M345	female pelvic infections
M346	metastatic pheochromocytoma
M347	hyperthyroidism
M348	chancroid
M349	disc herniation
M350	uterine fibroids
M351	recurrent corneal erosions
M352	pressure
M353	episcleritis
M354	citrobacter infections
M355	obesity due to proprotein subtilisin/kexin type 1 (pcsk1) deficiency
M356	granuloma inguinale
M357	severe seborrheic dermatitis of the scalp
M358	relapsed or refractory mycosis fungoides (mf)
M359	dry eye in sjögren syndrome
M360	peritonitis
M361	acromegaly
M362	severe anxiety
M363	large b-cell lymphoma
M364	diabetes mellitus (type 2)
M365	solar dermatitis
M366	active psoriatic arthritis
M367	neisseria meningitidis group c
M368	hepatic coma
M369	herpes zoster
M370	dyshidroses
M371	post-anoxic myoclonus
M372	locally advanced head and neck squamous cell carcinoma
M373	tick-borne encephalitis (tbe)
M374	acute promyelocytic leukemia
M375	zygomycosis
M376	rickets
M377	nonallergic rhinitis
M378	squamous cell carcinoma, vulva
M379	keratoconjunctivitis sicca
M380	varicose veins
M381	oral mucositis
M382	peritoneal membrane disorder
M383	severe hemophilia a (congenital factor viii deficiency)
M384	episodic cluster headache
M385	complex perianal fistulas in adult patients with non-active or mildly active luminal crohn's disease
M386	nephrolithiasis
M387	blood preservative
M388	dysmenorrhoea
M389	growth hormone deficiency
M390	porphyria
M391	nausea
M392	smallpox infection
M393	ret fusion-positive thyroid cancer
M394	postnatal depression
M395	brain cancer
M396	x-linked adrenoleukodystrophy
M397	diabetic nephropathy
M398	leukemia
M399	visceral leishmaniasis
M400	active duodenal ulcer
M401	acute herpes zoster
M402	severely active ulcerative colitis
M403	hypofibrinogenemia
M404	esophageal cancer
M405	non-radiographic axial spondyloarthritis
M406	uveal melanoma
M407	chronic myeloid leukemia (cml)
M408	pruritusdermatosis
M409	bacterial endocarditis
M410	malignant hyperthermia
M411	heroin dependence
M412	senile pruritus
M413	cd30-expressing peripheral t-cell lymphomas
M414	von willebrand disease
M415	primary hemophagocytic lymphohistiocytosis (hlh)
M416	acute intermittent porphyria
M417	dementia
M418	adenosine deaminase deficiency
M419	spatial memory disorder
M420	dravet syndrome
M421	non-small cell lung cancer (nsclc)
M422	prurigo nodularis
M423	metastatic colorectal cancer
M424	b-cell non-hodgkin's lymphoma
M425	sinusitis
M426	burns
M427	colorectal adenocarcinoma
M428	progressive chronic lymphocytic leukemia
M429	hemorrhoids
M430	metastatic hormone receptor-negative (her2-) breast cancer
M431	acquired hemophilia a
M432	vomiting
M433	hormone receptor-positive (her2+) gastric adenocarcinoma
M434	moderate to severe binge eating disorder
M435	acute angle-closure glaucoma
M436	grade 3b follicular lymphoma
M437	streptococcus pneumoniae type 14
M438	endometrial hyperplasia without atypia
M439	lennox-gastaut syndrome
M440	systemic candidiasis
M441	testicular cancer
M442	prevent pregnancy,
M443	acute coronary syndrome
M444	marijuana dependence
M445	chronic heart failure
M446	human immunodeficiency virus type 1 (hiv-1)
M447	opioid dependence
M448	lung adenocarcinoma
M449	nosocomial pneumonia
M450	rheumatoid arthritis
M451	vasodilatory shock
M452	hemofiltration clotting
M453	lumbago
M454	cellulite
M455	tropical pulmonary eosinophilia
M456	non-progressing b-cell non-hodgkin's lymphoma (nhl)
M457	bone fractures
M458	acute gouty arthritis
M459	skin cancer
M460	active enthesitis-related arthritis
M461	thrombotic stroke
M462	eye irritations
M463	brain edema
M464	urothelial carcinoma
M465	swelling due to pregnancy
M466	focal segmental glomerulosclerosis
M467	sepsis
M468	malignant melanoma
M469	extensive-stage small cell lung cancer (es-sclc)
M470	osteomalacia
M471	arthritis
M472	acute bacterial exacerbation of chronic bronchitis
M473	secondary hypothyroidism
M474	leishmaniasis
M475	giant follicular lymphoma
M476	kaposi's sarcoma
M477	mucopolysaccharidosis vii
M478	growth failure due to idiopathic short stature (iss)
M479	sickle cell disease
M480	cholecystitis
M481	growth failure due to growth hormone deficiency (ghd)
M482	amyotrophic lateral sclerosis (als)
M483	scorpion envenomation
M484	acute evolving transmural myocardial infarction
M485	human papillomavirus (hpv) type 33
M486	cryopyrin-associated periodic syndromes (caps)
M487	vulvar dystrophy
M488	thrombocytopenia
M489	candidemia
M490	hbeag positive chronic hepatitis b infection
M491	lymphatic filariasis
M492	protein catabolism
M493	anaphylaxis to neuromuscular blocking agents
M494	aggressive systemic mastocytosis
M495	cutaneous fungal infections
M496	major depressive disorder
M497	metastatic merkel cell carcinoma (mcc)
M498	ifosfamide-induced hemorrhagic cystitis
M499	pain associated with endometriosis
M500	rhabdomyosarcoma
M501	progesterone deficiency
M502	homozygous familial sitosterolemia
M503	atherosclerotic cardiovascular disease
M504	dental infections
M505	legionella pneumophila
M506	protozoal infections
M507	anaphylaxis
M508	total blindness
M509	vitamin b2 deficiency
M510	desensitization of highly sensitized adult kidney transplant patients
M511	irritable bowel syndrome with diarrhea
M512	gingivitis
M513	k-ras wild-type metastatic colorectal cancer
M514	trypanosomiasis
M515	vomiting associated with radiotherapy
M516	systemic lupus erythematosus (sle)
M517	mature b-cell acute leukemia (b-al)
M518	heart block
M519	differentiated thyroid cancer
M520	cold urticaria
M521	congestive heart failure
M522	female infertility
M523	secondary adrenocortical insufficiency
M524	fungal skin infections
M525	gastrointestinal bleeding
M526	streptococcus pneumoniae type 19a
M527	homozygous cystinuria
M528	adult-onset growth hormone deficiency (ao-ghd)
M529	hemorrhage of the uterus following delivery of the placenta
M530	hairy cell leukemia
M531	chronic renal failure
M532	smooth muscle spasms
M533	locally advanced or metastatic non-small cell lung cancer
M534	bacterial meningitis
M535	acute and chronic pain
M536	superficial punctate keratitis
M537	vitiligo
M538	homocystinuria
M539	skin and skin structure infections
M540	myoclonus
M541	rickettsial infections
M542	renal osteodystrophy
M543	disuse osteoporosis
M544	venous thromboembolism
M545	cryptococcus pulmonary infections
M546	mixed dyslipidemia
M547	urethritis
M548	traumatic brain injuries
M549	benzodiazepine overdose
M550	enteritis
M551	cytomegalovirus retinitis in patients with aids
M552	pneumonia
M553	pulmonary tuberculosis
M554	bipolar depression
M555	streptococcus pneumoniae type 23f
M556	diabetic macular edema
M557	hypertrophic cardiomyopathy
M558	botulism
M559	genotype 4 chronic hepatitis c virus (hcv) infection without cirrhosis
M560	high-grade resectable non-metastatic osteosarcoma
M561	chronic bacterial prostatitis
M562	pancreatitis
M563	asthma
M564	bone and joint infections
M565	atopic dermatitis
M566	calciphylaxis
M567	non-hodgkin's lymphoma (nhl)
M568	hbeag negative chronic hepatitis b infection
M569	acute respiratory distress syndrome (ards)
M570	venous insufficiency
M571	diphyllobothriasis
M572	nasal congestion
M573	transfusional hemosiderosis
M574	bacterial infections
M575	philadelphia chromosome-positive (ph+) chronic myeloid leukemia (cml)
M576	vestibular vertigo
M577	postoperative inflammation
M578	acute pyelonephritis
M579	postabortion hemorrhage
M580	liver transplant surgery
M581	relapsed philadelphia chromosome-negative (ph-) acute lymphocytic leukemia (all)
M582	acquired immune deficiency syndrome (aids)
M583	homozygous familial hypercholesterolemia
M584	glioblastoma multiforme (gbm)
M585	neisseria meningitidis group a
M586	typhoid fever
M587	psychomotor epileptic seizures
M588	parkinson's disease
M589	paroxysmal nocturnal hemoglobinuria (pnh)
M590	cough
M591	vascular dementia
M592	tenosynovial giant cell tumor
M593	wilms' tumor
M594	headaches
M595	dermatitis
M596	advanced hepatocellular carcinoma
M597	genotype 1 chronic hepatitis c virus (hcv) infection
M598	allergic states
M599	streptococcus pneumoniae type 19f
M600	acute pharyngitis
M601	granulomatosis with polyangiitis (gpa)
M602	osteoarthritis of knee
M603	exercise-induced bronchoconstriction
M604	microscopic polyangiitis (mpa)
M605	adrenocortical carcinoma
M606	locally advanced, unresectable or metastatic pancreatic cancer
M607	burkitt-like lymphoma (bll)
M608	hypercalcemia in patients with parathyroid carcinoma
M609	multiple myeloma
M610	primary cutaneous anaplastic large cell lymphoma
M611	uncomplicated gonorrhea
M612	soft tissue infections
M613	psychosis
M614	staphylococcal infections
M615	emphysema
M616	acute hepatic porphyria
M617	prophylaxis of kidney transplant rejection
M618	onychomycosis
M619	head and neck squamous cell carcinoma
M620	recurrent ovarian cancer
M621	thrombosis
M622	premenstrual dysphoric disorder
M623	intra-abdominal abscesses
M624	nonvalvular atrial fibrillation
M625	bursitis
M626	leber's hereditary optic neuropathy
M627	cytokine release syndrome
M628	streptococcus pneumoniae type 6b
M629	painful muscular contractions
M630	eye redness
M631	malnutrition
M632	gonorrhea
M633	stasis dermatitis
M634	liver cirrhosis
M635	glucocorticoid-induced osteoporosis
M636	severe insulin resistance
M637	urinary incontinence
M638	hemophilic arthropathy
M639	vasomotor symptoms
M640	chronic hepatitis c virus genotype 3 infection
M641	hyperlipoproteinemia type iib
M642	duodenal ulcers
M643	alcohol withdrawal syndrome
M644	primary hyperoxaluria type 1 (ph1)
M645	leber's congenital amaurosis
M646	obesity due to pro-opiomelanocortin (pomc) deficiency
M647	complicated urinary tract infections
M648	second-degree burns
M649	metastatic castration-resistant prostate cancer
M650	human immunodeficiency virus (hiv)
M651	afibrinogenemia
M652	polyarticular juvenile idiopathic arthritis
M653	tinea cruris (jock itch)
M654	diphtheria
M655	mycoplasma pneumoniae
M656	pancreatic cancer
M657	otitis externa
M658	obstructive pulmonary disease (opd)
M659	severe asthma
M660	spasm
M661	ntrk gene fusion-positive solid tumors
M662	acute lymphocytic leukemia (all)
M663	respiratory syncytial virus (rsv) respiratory disease
M664	diabetic gastroparesis
M665	pseudomonas aeruginosa infections
M666	female pelvis infections
M667	cataract
M668	skin lesions
M669	prolactin-induced amenorrhea
M670	menorrhagia
M671	amenorrhea
M672	dental pulp disorder
M673	gouty arthritis
M674	meningococcal infections
M675	shock
M676	chronic thromboembolic pulmonary hypertension
M677	disseminated mycobacterial infections
M678	symptomatic sarcoidosis
M679	schistosomiasis
M680	occlusion of arteriovenous cannulae
M681	peripheral vessel disease
M682	benign stomach ulcer
M683	chagas disease
M684	colorectal adenoma
M685	congenital neutropenia
M686	hepatorenal syndrome type 1 (hrs 1)
M687	ventricular arrhythmias associated with digitalis toxicity
M688	pyrogenic wounds
M689	hepatic injury
M690	hiv associated adipose redistribution syndrome
M691	scabies
M692	mycosis fungoides (mf)
M693	human papillomavirus type-11 (hpv-11)
M694	recurrent thyroid cancer
M695	central nervous system infections
M696	kraurosis vulvae
M697	unstable angina
M698	hypothyroidism
M699	mycoplasma strains
M700	cystinuria
M701	posterior uveitis
M702	bronchospasm
M703	goitrogenesis
M704	advanced gastric adenocarcinoma
M705	hypoparathyroidism
M706	recurrent mucocutaneous herpes simplex infections
M707	hyperplasia
M708	involutional depression
M709	epithelial keratitis
M710	epstein-barr virus-positive diffuse large b-cell lymphoma (ebv+ dlbcl) not otherwise specified (nos)
M711	sunburn
M712	progeria
M713	haemophilus influenzae type b
M714	hepatitis (viral b)
M715	chronic sinusitis
M716	refractory testicular cancer
M717	polycystic ovary syndrome
M718	inflammatory lesions of non-nodular moderate to severe acne vulgaris
M719	molybdenum cofactor deficiency (mocd) type a
M720	systemic primary carnitine deficiency
M721	inflammation
M722	septic arthritis
M723	cryptosporidiosis
M724	whipworm infections
M725	growth failure due to shox deficiency
M726	digitoxin overdose
M727	bronchopulmonary dysplasia
M728	muscular dystrophy
M729	absence epilepsy
M730	neurologic dysfunction
M731	supraventricular tachycardia
M732	hiatus hernia
M733	gastritis
M734	recurrent vulvovaginal candidiasis
M735	hypertriglyceridemia
M736	recurring ventricular fibrillation
M737	histiocytic lymphoma
M738	non-squamous non-small cell lung cancer
M739	arteriosclerosis
M740	hereditary tyrosinemia type 1
M741	familial mediterranean fever
M742	delusion
M743	unresectable melanoma
M744	congenital or acquired generalized lipodystrophy
M745	cholestatic pruritus
M746	relapsed or refractory diffuse large b-cell lymphoma (dlbcl)
M747	lymphosarcoma
M748	actinomycosis
M749	sneezing
M750	relapsed or refractory multiple myeloma
M751	staphylococcal dermatitis
M752	alzheimer's disease
M753	obstructive sleep apnea
M754	typhus fever
M755	anaplastic large t-cell lymphoma
M756	dysbetalipoproteinemia
M757	listeriosis
M758	bronchitis
M759	chronic gouty arthritis
M760	bipolar i disorder
M761	subfoveal choroidal neovascularization
M762	coccidioidomycosis
M763	patent ductus arteriosus
M764	EGFR-expressing metastatic colorectal carcinoma
M765	acute cardiac ischemic events
M766	liver cancer
M767	residual thyroid cancer
M768	facial acne vulgaris
M769	idiopathic parkinson's disease
M770	simple (nontoxic) goiter
M771	hormone refractory metastatic prostate cancer
M772	backache
M773	chronic hepatitis c virus (genotype 4) infection
M774	neurotic or reactive depressive disorders
M775	alveolar soft part sarcoma (asps)
M776	mumps
M777	status epilepticus
M778	grand mal seizures
M779	functional hemorrhages and menorrhagia of fibroids
M780	glanzmann's thrombasthenia
M781	inflammatory breast cancer
M782	adams-stokes syndrome
M783	onychocryptosis
M784	contact dermatitis
M785	bacterial tonsillitis
M786	chronic dermal ulcers
M787	multicentric castleman's disease
M788	obesity
M789	staphylococcal meningitis
M790	human papillomavirus type-6 (hpv-6)
M791	childhood-onset growth hormone deficiency (co-ghd)
M792	anti-neutrophil cytoplasmic antibody-associated vasculitis
M793	exercise-induced bronchospasm
M794	psychotic depression
M795	postpartum hemorrhage
M796	acute myocardial infarction
M797	active rheumatoid arthritis
M798	acute renal failure
M799	anaerobic bacterial infections
M800	obesity due to leptin receptor (lepr) deficiency
M801	chronic hyperammonemia
M802	overactive bladder
M803	generalized myasthenia gravis
M804	hypogonadotropic hypogonadism
M805	chromium deficiency
M806	head and neck cancer
M807	prostate cancer with bone metastasis
M808	lymphoblastic lymphoma
M809	arsenic poisoning
M810	obsessive-compulsive disorder
M811	astrocytoma
M812	streptococcus pneumoniae type 8
M813	perinatal/infantile hypophosphatasia
M814	metastatic nonseminomatous testicular cancer
M815	preterm birth
M816	acute, uncomplicated ano-rectal infections in women
M817	hypotension
M818	prostate adenocarcinoma
M819	prevention of pregnancy
M820	neuropathic pain associated with postherpetic neuralgia
M821	pulmonary arterial hypertension
M822	bacterial or protozoal enteritis
M823	raynaud's disease
M824	postoperative pain
M825	acute asthma attack
M826	chronic hepatitis (viral c)
M827	north american pit viper envenomation
M828	vaginal atrophy
M829	primary adrenocortical insufficiency
M830	bone cancer
M831	prostate-specific membrane antigen (psma)-positive metastatic castration-resistant prostate cancer (mcrpc)
M832	obesity due to bardet-biedl syndrome
M833	reactive rheumatoid arthritis
M834	genital herpes
M835	campylobacter fetus infections
M836	bacterial sinusitis
M837	small lymphocytic lymphoma (sll)
M838	endocarditis
M839	breast cancer
M840	pseudopregnancy
M841	myelodysplastic syndromes (mds)
M842	biliary tract diseases
M843	light chain amyloidosis
M844	acute non-lymphocytic leukemia
M845	depression associated with organic disease
M846	tinea manuum
M847	gastric cancer
M848	polyarticular idiopathic arthritis
M849	neurodermatitis
M850	primary progressive dementia
M851	respiratory syncytial virus (rsv)
M852	pigmented villonodular synovitis
M853	primary pheochromocytoma
M854	schizophrenia
M855	tularemia
M856	tinea pedis (athlete's foot)
M857	perennial allergic rhinitis
M858	pelvic infections
M859	friedreich ataxia
M860	thyroiod cancer
M861	tumor mutational burden-high (tmb-h) cancer
M862	unresectable non-squamous non-small cell lung cancer
M863	occlusive peripheral vascular disease
M864	renal cell carcinoma (rcc)
M865	irregular sleep-wake rhythm disorder
M866	clinically isolated syndrome
M867	eosinophilic granulomatosis with polyangiitis (egpa)
M868	sciatica
M869	metastatic gastric adenocarcinoma
M870	allergic rhinitis
M871	liver disease, alcoholic
M872	prostate cancer
M873	iron deficiency
M874	myelofibrosis
M875	gastroesophageal reflux
M876	hymenolepiasis
M877	megaloblastic anemia
M878	secondary skin infections
M879	oral lichen planus
M880	vaginitis caused by gardnerella vaginalis
M881	candida infections
M882	inhalational anthrax
M883	stroke
M884	vaginitis
M885	thyrotoxicosis
M886	occlusive thromboemboli in peripheral arteries and grafts
M887	cytomegalovirus infectious disease in kidney, heart, and kidney-pancreas transplantation
M888	uterine cervical cancer
M889	erosive esophagitis
M890	streptococcus pneumoniae type 1
M891	hiv-associated lipodystrophy
M892	cholera
M893	cyanide poisoning
M894	myasthenia gravis
M895	opioid overdose
M896	barrett's esophagus
M897	gallstones
M898	recurrent pericarditis (rp)
M899	attention deficit hyperactivity disorder (adhd)
M900	pediculosis
M901	neonatal-onset multisystem inflammatory disease (nomid)
M902	severe infections caused by susceptible strains of methicillin-resistant staphylococci
M903	neurogenic orthostatic hypotension
M904	upper respiratory tract infections
M905	orthostatic hypotension
M906	histoplasmosis
M907	arteriosclerosis obliterans
M908	melasma of the face
M909	neurocysticercosis
M910	connective tissue diseases
M911	pernicious anemia
M912	acute diarrhea
M913	alcoholism
M914	oral cancer
M915	endogenous anterior uveitis
M916	cystitis
M917	mucormycosis
M918	fluorouracil overdose
M919	respiratory depression
M920	acquired thrombotic thrombocytopenic purpura
M921	human papillomavirus type-18 (hpv-18)
M922	anal fissure
M923	neuropathic pain
M924	metastatic testicular cancer
M925	pharmacologically induced mydriasis
M926	gestational diabetes mellitus
M927	thalassemia syndrome
M928	viral rhinitis
M929	plague
M930	hyperlipidemia
M931	epithelial ovarian cancer
M932	insulin hypoglycemia
M933	arteriosclerotic parkinsonism
M934	pulmonary hypertension
M935	febrile neutropenia
M936	acute pulmonary emboli
M937	tumors
M938	diabetes mellitus
M939	edema associated with congestive heart failure
M940	acute malaria
M941	strains and sprains
M942	chronic renal insufficiency
M943	constipation-predominant irritable bowel syndrome (ibs-c)
M944	skeletal muscle relaxation
M945	alopecia areata
M946	gestational choriocarcinoma
M947	dry eye syndrome
M948	gold poisoning
M949	ventricular tachycardia
M950	septic shock
M951	nasolabial fold wrinkles
M952	staphylococcus aureus bloodstream infections
M953	juvenile onset hypophosphatasia
M954	ventricular fibrillation
M955	osteoarthritis
